Epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.8185940980911255,0.9023197889328003,0.4264155924320221,0.8906955718994141,0.9841794371604919,0.23490719497203827
1,0.9024943113327026,0.9478747248649597,0.28603148460388184,0.9521228671073914,0.9916711449623108,0.13354867696762085
2,0.9315192699432373,0.9658033847808838,0.22704796493053436,0.966576337814331,0.9945112466812134,0.1237785667181015
3,0.9315192699432373,0.9679872989654541,0.215266615152359,0.9611562490463257,0.9956287741661072,0.11362658441066742
4,0.9433106780052185,0.9750208854675293,0.18801186978816986,0.9638662934303284,0.9936875700950623,0.13139763474464417
5,0.9442176818847656,0.9754857420921326,0.18360254168510437,0.9539295434951782,0.9923555254936218,0.14890213310718536
6,0.9523809552192688,0.9797955751419067,0.1712767481803894,0.9692863821983337,0.9936277270317078,0.10046076774597168
7,0.9555555582046509,0.9825989007949829,0.16014084219932556,0.9530261754989624,0.9904086589813232,0.13306821882724762
8,0.9555555582046509,0.9863654375076294,0.13982848823070526,0.9647696614265442,0.9911298155784607,0.11578992009162903
9,0.96417236328125,0.9877857565879822,0.12622985243797302,0.9494128227233887,0.9852757453918457,0.15170007944107056
10,0.9632652997970581,0.9864921569824219,0.13214004039764404,0.9593495726585388,0.9866406917572021,0.1336711049079895
11,0.963718831539154,0.9904854893684387,0.11660510301589966,0.9566395878791809,0.9825884103775024,0.15655840933322906
